FET Vds-Id
VDS= 0 to -2 in -0.05 step
VG= 0 to -2 in -0.5 step
NO. VG VDS VS ID IS IG ISUB VSUB
 V V V A A A A V
248 -1.5 -0.05 0 -1.25388E-05 1.25401E-05 -6.37E-12 4.5E-13 0
249 -1.5 -0.1 0 -2.38402E-05 2.3841E-05 -2.02E-12 4.7E-13 0
250 -1.5 -0.15 0 -3.38616E-05 3.38624E-05 -3.14E-12 4.2E-13 0
251 -1.5 -0.2 0 -4.25353E-05 4.2536E-05 -2E-14 4.6E-13 0
252 -1.5 -0.25 0 -4.98593E-05 4.98587E-05 -3.55E-12 5.5E-13 0
253 -1.5 -0.3 0 -5.57796E-05 5.57789E-05 2.2E-13 4.9E-13 0
254 -1.5 -0.35 0 -6.03176E-05 6.03178E-05 -1.78E-12 5E-13 0
255 -1.5 -0.4 0 -6.35303E-05 6.35296E-05 -1.74E-12 9E-13 0
256 -1.5 -0.45 0 -6.55538E-05 6.55529E-05 -3.61E-12 6.8E-13 0
257 -1.5 -0.5 0 -6.66632E-05 6.66634E-05 -3.4E-13 2E-14 0
258 -1.5 -0.55 0 -6.72118E-05 6.72114E-05 1.13E-12 1.34E-12 0
259 -1.5 -0.6 0 -6.75036E-05 6.75018E-05 2.52E-12 1.15E-12 0
260 -1.5 -0.65 0 -6.76935E-05 6.76942E-05 3.66E-12 5E-14 0
261 -1.5 -0.7 0 -6.78457E-05 6.78455E-05 -2.33E-12 -4.7E-13 0
262 -1.5 -0.75 0 -6.79775E-05 6.79793E-05 -6.17E-12 1.01E-12 0
263 -1.5 -0.8 0 -6.80998E-05 6.81002E-05 4.66E-12 1.5E-12 0
264 -1.5 -0.85 0 -6.82125E-05 6.82135E-05 -2.65E-12 2.17E-12 0
265 -1.5 -0.9 0 -6.83183E-05 6.83196E-05 9.11E-12 2.14E-12 0
266 -1.5 -0.95 0 -6.84193E-05 6.84195E-05 -1.083E-11 -4E-14 0
267 -1.5 -1 0 -6.8514E-05 6.85129E-05 1.34E-12 1.03E-12 0
268 -1.5 -1.05 0 -6.86051E-05 6.86045E-05 -2.5E-13 8.4E-13 0
269 -1.5 -1.1 0 -6.86932E-05 6.86923E-05 3.44E-12 7E-13 0
270 -1.5 -1.15 0 -6.87777E-05 6.87781E-05 1.07E-12 3.8E-13 0
271 -1.5 -1.2 0 -6.88598E-05 6.88598E-05 -3.4E-12 4.7E-13 0
272 -1.5 -1.25 0 -6.89378E-05 6.89374E-05 -3.68E-12 5.4E-13 0
273 -1.5 -1.3 0 -6.90147E-05 6.90152E-05 -1.53E-12 6.4E-13 0
274 -1.5 -1.35 0 -6.9089E-05 6.9089E-05 -1.43E-12 8.7E-13 0
275 -1.5 -1.4 0 -6.91599E-05 6.91603E-05 2.4E-13 7.5E-13 0
276 -1.5 -1.45 0 -6.92304E-05 6.92299E-05 -1.94E-12 5.9E-13 0
277 -1.5 -1.5 0 -6.92999E-05 6.92992E-05 -1.3E-12 6.4E-13 0
278 -1.5 -1.55 0 -6.93677E-05 6.93661E-05 -2.23E-12 7.6E-13 0
279 -1.5 -1.6 0 -6.94316E-05 6.94303E-05 8E-14 8.7E-13 0
280 -1.5 -1.65 0 -6.94952E-05 6.94955E-05 -9E-14 7E-13 0
281 -1.5 -1.7 0 -6.95591E-05 6.9558E-05 -1.31E-12 7.2E-13 0
282 -1.5 -1.75 0 -6.96194E-05 6.96183E-05 -1.18E-12 6.3E-13 0
283 -1.5 -1.8 0 -6.96789E-05 6.9678E-05 1.2E-13 9.4E-13 0
284 -1.5 -1.85 0 -6.97385E-05 6.97382E-05 -1.3E-13 8E-13 0
285 -1.5 -1.9 0 -6.97968E-05 6.97973E-05 -5.5E-13 9.6E-13 0
286 -1.5 -1.95 0 -6.98528E-05 6.98533E-05 -1.4E-13 8.5E-13 0
287 -1.5 -2 0 -6.99097E-05 6.99094E-05 -6.4E-13 8.9E-13 0
288 -1.5 -2 0 -6.99086E-05 6.99085E-05 -3.2E-13 8.9E-13 0
289 -1.5 -1.95 0 -6.98532E-05 6.98536E-05 -9.2E-13 8.2E-13 0
290 -1.5 -1.9 0 -6.97971E-05 6.97977E-05 -1.03E-12 8.8E-13 0
291 -1.5 -1.85 0 -6.97394E-05 6.97402E-05 -4.7E-13 8.5E-13 0
292 -1.5 -1.8 0 -6.96811E-05 6.9681E-05 -6.3E-13 8.1E-13 0
293 -1.5 -1.75 0 -6.96219E-05 6.96221E-05 -8E-14 8.6E-13 0
294 -1.5 -1.7 0 -6.95616E-05 6.95619E-05 -7.3E-13 6.2E-13 0
295 -1.5 -1.65 0 -6.94996E-05 6.95006E-05 -1.7E-12 8.1E-13 0
296 -1.5 -1.6 0 -6.94357E-05 6.94358E-05 -7.2E-13 6.8E-13 0
297 -1.5 -1.55 0 -6.93703E-05 6.93706E-05 -2.1E-13 7.8E-13 0
298 -1.5 -1.5 0 -6.93046E-05 6.93043E-05 -1.71E-12 9.5E-13 0
299 -1.5 -1.45 0 -6.92374E-05 6.92372E-05 8.4E-13 7.8E-13 0
300 -1.5 -1.4 0 -6.91676E-05 6.91684E-05 -1E-12 7.6E-13 0
301 -1.5 -1.35 0 -6.90961E-05 6.90952E-05 -9E-14 8.4E-13 0
302 -1.5 -1.3 0 -6.90222E-05 6.9023E-05 -3.4E-13 7.3E-13 0
303 -1.5 -1.25 0 -6.8947E-05 6.89466E-05 -1.37E-12 6.1E-13 0
304 -1.5 -1.2 0 -6.8869E-05 6.88681E-05 -1.84E-12 7.7E-13 0
305 -1.5 -1.15 0 -6.87883E-05 6.87875E-05 1.1E-13 6.9E-13 0
